Element,Lattice,Convergence,Energy_MeV,Time_Sec,Peak_Memory_Mb,Iterations
he4,4,SUCCESS,-27.648077,2.6465611189996707,37.429039,N/A (--quiet)
he4,6,SUCCESS,-27.275857,5.673060101998999,108.273217,N/A (--quiet)
he4,8,SUCCESS,-27.266229,32.032932351001364,466.235396,N/A (--quiet)
he4,10,SUCCESS,-27.265942,119.38029135499892,1694.43352,N/A (--quiet)
