id,name,node,time,maxRSS
4404376,ccsd2_10_2n8d_platform,frontier[06913-06914],00:03:38,
4420405,ccsd2_10_2n8d_platform,frontier[07350,07405],00:03:41,
4420766,ccsd2_10_2n8d_platform,frontier[02827,02836],00:03:33,
4420859,ccsd2_8_2n8d_platform,frontier[03486,03491],00:01:50,
4420960,ccsd2_10_2n8d,frontier[01580-01581],00:01:27,
4420927,ccsd2_8_2n8d,frontier[03486,03491],00:09:13,
4421217,ccsd2_10_2n8d,frontier[03761-03762],00:01:26,
4421231,ccsd2_10_2n8d_platform,frontier[03264,03266],00:01:14,
4421218,ccsd2_8_2n8d,frontier[03387-03388],00:08:39,
4421514,ccsd2_10_2n8d_platform,frontier[03218,03228],00:03:57,
4421639,ccsd2_10_2n8d,frontier[03201-03202],00:00:10,
4421733,ccsd2_10_2n8d,frontier[03201-03202],00:00:09,
4421750,ccsd2_10_2n8d,frontier[03201-03202],00:01:26,
4421840,ccsd2_10_2n8d,frontier[03201-03202],00:01:18,
4421919,ccsd2_10_2n8d,frontier[03201-03202],00:01:18,
4422022,ccsd2_10_2n8d,frontier[03201-03202],00:01:44,
4422074,ccsd2_10_2n8d,frontier[03201-03202],00:01:18,
4422115,ccsd2_10_2n8d,frontier[03201-03202],00:00:09,
4422129,ccsd2_10_2n8d,frontier[08073,08078],00:01:28,
4422191,ccsd2_10_2n8d_platform,frontier[07937-07938],00:03:33,
4422181,ccsd2_8_2n8d,frontier[07686,07691],00:09:40,
4422321,ccsd2_10_2n8d_platform,frontier[07055-07056],00:03:32,
4422329,ccsd2_10_2n8d,frontier[07041-07042],00:01:26,
4422350,ccsd2_10_2n8d,frontier[07495-07496],00:01:04,
4422365,ccsd2_10_2n8d,frontier[03457-03458],00:05:00,
4422367,ccsd2_10_2n8d,frontier[03457-03458],00:04:54,
4422376,ccsd2_10_2n8d,frontier[03457-03458],00:04:41,
4422408,ccsd2_10_2n8d,frontier[07169-07170],00:02:22,
4422411,ccsd2_10_2n8d,frontier[01115-01116],00:02:25,
4422622,ccsd2_10_2n8d,frontier[02313-02314],00:04:03,
4422839,ccsd2_10_2n8d,frontier[09309-09310],00:01:33,
